province,region,year,dead,injured/ill,missing,affected_families,affected_persons,dmg_house_totally,dmg_house_partial,cost_agri,cost_infra,cost_house,cost_priv,cost_others,cost_total
Pampanga,III,2022,0,0,0,45471,150183,67,1972,570871181.8,9200000.0,0.0,0.0,0.0,580071181.8
Pampanga,III,2023,0,0,0,34894,120377,0,0,171867938.34,0.0,0.0,0.0,0.0,171867938.34
Pampanga,III,2024,2,1,0,498354,1674771,13,69,1170097321.47,89494540.07,0.0,0.0,0.0,1259591861.54
Pangasinan,I,2020,0,0,1,20587,101898,118,2816,480009180.87,801010000.0,0.0,0.0,0.0,1281019180.87
Pangasinan,I,2021,7,0,0,67288,317931,0,0,7044000.0,231542500.0,0.0,0.0,0.0,238586500.0
Pangasinan,I,2022,0,0,0,28098,118364,28,529,50457368.0,24950000.0,0.0,0.0,0.0,75407368.0
Pangasinan,I,2023,0,0,0,13543,53580,4,8,0.0,0.0,0.0,0.0,0.0,0.0
Pangasinan,I,2024,0,0,0,303724,1179845,4,16,330869096.2,524408290.46,0.0,0.0,0.0,855277386.66
Quezon,CALABARZON,2020,4,6,0,120662,459230,1996,22081,2357918882.79,499030000.0,0.0,0.0,0.0,2856948882.79
Quezon,CALABARZON,2021,1,1,0,8016,31303,63,1053,162306513.03,30945000.0,0.0,0.0,514600.0,193766113.03
Quezon,CALABARZON,2022,8,10,0,69180,254934,3924,22508,912214114.62,1111221000.0,0.0,0.0,132036230.0,2155471344.62
Quezon,CALABARZON,2023,0,0,0,303,1088,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon,CALABARZON,2024,5,0,2,161036,600994,600,5037,41404484.0,552178399.82,0.0,0.0,0.0,593582883.82
Quirino,II,2020,0,0,0,133,449,0,0,41694934.2,206910000.0,0.0,0.0,0.0,248604934.2
Quirino,II,2021,0,0,0,0,0,0,0,285580.0,2567570.0,0.0,0.0,0.0,2853150.0
Quirino,II,2022,0,0,0,1152,3587,0,2,26586052.05,153541237.5,0.0,0.0,0.0,180127289.55
Quirino,II,2024,0,1,0,70972,282773,0,0,12077665.09,11888963.94,0.0,0.0,0.0,23966629.03
Rizal,CALABARZON,2020,1,0,0,2906,12572,0,0,35199942.2,0.0,0.0,0.0,0.0,35199942.2
Rizal,CALABARZON,2021,0,0,0,4892,17112,0,0,1377077.52,298750000.0,0.0,0.0,0.0,300127077.52
Rizal,CALABARZON,2022,6,2,0,13741,58836,14,21,61698967.7,142679977.81,0.0,0.0,721700.0,205100645.51
Rizal,CALABARZON,2023,2,0,0,22,84,22,0,0.0,0.0,0.0,0.0,0.0,0.0
Rizal,CALABARZON,2024,22,5,5,57098,248785,1168,5609,1264084.44,87333700.0,0.0,0.0,0.0,88597784.44
Romblon,MIMAROPA,2020,1,0,0,5162,18955,17,424,34119065.620000005,37339400.0,0.0,0.0,0.0,71458465.62
Romblon,MIMAROPA,2021,1,0,0,494,1971,2,21,7417492.5,25390000.0,0.0,0.0,0.0,32807492.5
Romblon,MIMAROPA,2022,1,0,0,3901,16840,7,197,8849000.0,98750372.0,0.0,0.0,0.0,107599372.0
Romblon,MIMAROPA,2023,0,0,0,2,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Romblon,MIMAROPA,2024,0,0,0,4460,18418,10,130,31317047.55,88938083.33,0.0,0.0,0.0,120255130.88
Samar,VIII,2020,0,17,0,1476,5861,18,1353,10251400.0,0.0,0.0,0.0,0.0,10251400.0
Samar,VIII,2021,5,11,0,28489,131935,267,5643,230180596.8,50000.0,0.0,0.0,726000.0,230956596.8
Samar,VIII,2022,4,3,0,5224,22199,79,485,45165684.72,0.0,0.0,0.0,0.0,45165684.72
Samar,VIII,2024,0,0,0,114416,441663,0,4,0.0,5000000.0,0.0,0.0,0.0,5000000.0
Sarangani,XII,2022,0,6,0,3399,10850,126,555,0.0,0.0,0.0,0.0,0.0,0.0
Sarangani,XII,2024,0,1,0,4815,23925,9,6,138076867.3,0.0,0.0,0.0,0.0,138076867.3
Siquijor,VII,2021,0,0,0,4730,16592,156,4509,7000000.0,0.0,0.0,0.0,7000000.0,14000000.0
Siquijor,VII,2022,0,0,0,0,0,0,0,0.0,18000000.0,0.0,0.0,0.0,18000000.0
Siquijor,VII,2024,0,0,0,49,96,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sorsogon,V,2020,0,6,0,55198,228041,457,8142,470355530.78,324439865.24,0.0,0.0,10433900.0,805229296.02
Sorsogon,V,2021,0,0,0,828,3063,0,0,6682551.08,12500000.0,0.0,0.0,145675.0,19328226.08
Sorsogon,V,2022,2,3,0,3323,11982,0,0,85054892.63,32980000.0,0.0,0.0,2441215.82,120476108.45
Sorsogon,V,2023,0,0,0,0,0,0,0,126000.0,0.0,0.0,0.0,0.0,126000.0
Sorsogon,V,2024,0,1,0,150193,597715,18,5201,6507000.0,12500000.0,0.0,0.0,0.0,19007000.0
South Cotabato,XII,2021,0,0,0,37,170,0,0,0.0,0.0,0.0,0.0,0.0,0.0
South Cotabato,XII,2022,1,0,0,277,1164,14,219,0.0,0.0,0.0,0.0,0.0,0.0
South Cotabato,XII,2024,0,0,0,4100,20484,0,0,4849801.98,0.0,0.0,0.0,0.0,4849801.98
Southern Leyte,VIII,2020,0,0,0,0,0,0,0,175351.5,0.0,0.0,0.0,0.0,175351.5
Southern Leyte,VIII,2021,25,94,4,122303,479358,35097,63309,1751884500.88,0.0,0.0,0.0,1751281794.0,3503166294.88
Southern Leyte,VIII,2022,1,0,2,5541,18797,11,1,40269091.7,0.0,0.0,0.0,0.0,40269091.7
Southern Leyte,VIII,2023,0,0,0,121,447,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Leyte,VIII,2024,0,0,0,2433,9699,0,0,0.0,3750000.0,0.0,0.0,0.0,3750000.0
Special Geographic Areas,CARAGA,2022,0,0,0,0,0,0,0,27115000.0,0.0,0.0,0.0,0.0,27115000.0
Sultan Kudarat,XII,2022,2,0,0,31956,137301,200,425,0.0,0.0,0.0,0.0,0.0,0.0
Sultan Kudarat,XII,2024,0,1,0,31308,151164,15,8,9131013.53,0.0,0.0,0.0,0.0,9131013.53
Sulu,CARAGA,2022,1,5,0,256,1289,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Norte,CARAGA,2020,0,0,0,564,2232,0,0,4144014.0,0.0,0.0,0.0,0.0,4144014.0
